category,value,country_code,substitution,scenario,measure
Free-trade partners,12.665945923517588,fta,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Free-trade partners,8.503028582851858,fta,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Total,11.042982607235905,total,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Total,9.34181945803419,total,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
China,-5.683425596582715,chn,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
China,-6.184040338097876,chn,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Canada,-0.15714668421270073,ca,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Canada,-0.10839004995107082,ca,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Mexico,-0.28676561216434493,mx,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Mexico,-0.057058385923841826,mx,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
UK,-2.267963070167201,uk,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
UK,-1.7419213766183974,uk,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Japan,-2.728904251417907,jp,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Japan,-3.235434144439635,jp,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
EU,-2.5504575720527125,eu,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
EU,-2.4804908619594004,eu,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Rest of World,-3.9170694660568195,row,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Rest of World,-3.3518934991534755,row,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Free-trade partners,-3.4821074180628653,fta,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Free-trade partners,-3.0741043443551295,fta,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Total,-2.5610753788899494,total,presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Total,-2.135203563198769,total,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
China,-0.6021810956189491,chn,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
China,-0.48855798553561414,chn,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Canada,0.021278190602291858,ca,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Canada,0.040689662430549056,ca,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Mexico,0.053195437554056646,mx,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Mexico,0.03853862063283664,mx,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
UK,1.0931694930921516,uk,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
UK,0.9193204124217598,uk,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Japan,0.15827673252272056,jp,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Japan,0.18173776042020506,jp,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
EU,1.3793280088839417,eu,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
EU,0.9885381708771384,eu,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Rest of World,0.2773755260476456,row,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Rest of World,0.2608472438789349,row,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Free-trade partners,0.16844333003906797,fta,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Free-trade partners,0.3713449173403802,fta,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Total,0.26843082701171994,total,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Total,0.3677073349688822,total,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
