category,value,dimension,category_code,scenario,measure,group
Nondurable Manufacturing,-0.01648099350752774,sector,nondurable,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Manufacturing detail
Advanced Manufacturing,0.4999999999999998,sector,advanced,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Manufacturing detail
Utilities,0.013428161325625632,sector,utilities,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Construction,-0.1299999999999999,sector,construction,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Services,-0.007698444942840221,sector,services,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Total,0.00642763078212738,sector,overall_gdp,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
USA,0,country,usa,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
China,0.020000000000000004,country,china,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Canada,0,country,canada,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Mexico,0.010000000000000009,country,mexico,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
EU,-0.009999999999999998,country,eu,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
UK,-0.020000000000000004,country,uk,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Japan,0,country,japan,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Free-trade partners,-0.01,country,fta,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Rest of World,-0.01,country,row,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
Total,-0.0021820346996603776,country,world,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Trading partners
