category,series,rate_group,duration,value,unit,metric
Household cost,Post-substitution,before_scotus,only,1046.31154202028,usd,hh_cost_postsub
Household cost,Post-substitution,immediately_following_scotus,only,451.615941113123,usd,hh_cost_postsub
Household cost,Post-substitution,pct10,expires,451.615941113123,usd,hh_cost_postsub
Household cost,Post-substitution,pct10,extended,773.753143037026,usd,hh_cost_postsub
Household cost,Post-substitution,pct15,expires,451.615941113123,usd,hh_cost_postsub
Household cost,Post-substitution,pct15,extended,903.177637845353,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2026",current,only,0.261071710970473,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",before_scotus,only,0.160564275228103,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",immediately_following_scotus,only,0.340332140057531,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct10,expires,0.321832711028014,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct10,extended,0.261071710970473,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct15,expires,0.31257467441701,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct15,extended,0.218874360813692,pp,gdp_growth_2026
Real GDP,Q4 2026 level change (%),current,only,-0.06999999999999999,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),before_scotus,only,-0.19,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),immediately_following_scotus,only,0.02,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),pct10,expires,0,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),pct10,extended,-0.06999999999999999,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),pct15,expires,0,pct,gdp_q4_2026
Real GDP,Q4 2026 level change (%),pct15,extended,-0.12,pct,gdp_q4_2026
Real GDP,Long-run,current,only,-0.131999239325523,pct,gdp_longrun
Real GDP,Long-run,before_scotus,only,-0.250966787338257,pct,gdp_longrun
Real GDP,Long-run,immediately_following_scotus,only,-0.0685818940401077,pct,gdp_longrun
Real GDP,Long-run,pct10,expires,-0.0685818940401077,pct,gdp_longrun
Real GDP,Long-run,pct10,extended,-0.131999239325523,pct,gdp_longrun
Real GDP,Long-run,pct15,expires,-0.0685818940401077,pct,gdp_longrun
Real GDP,Long-run,pct15,extended,-0.17852485179901098,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",current,only,0.114461805973387,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",before_scotus,only,0.212040157158163,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",immediately_following_scotus,only,0.0319819126893819,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct10,expires,0.040368461126457,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct10,extended,0.114461805973387,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct15,expires,0.044564780321128,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct15,extended,0.155768641755185,pp,unemployment_2026
Revenue (10-year),Conventional,current,only,1607.76978419395,usd_b,revenue_conventional
Revenue (10-year),Conventional,before_scotus,only,2318.3004077690803,usd_b,revenue_conventional
Revenue (10-year),Conventional,immediately_following_scotus,only,875.0848738471,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct10,expires,898.7040579945719,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct10,extended,1607.76978419395,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct15,expires,910.5136500683079,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct15,extended,1886.43501730652,usd_b,revenue_conventional
Revenue (10-year),Dynamic,current,only,1487.65078419395,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,before_scotus,only,2098.63840776908,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,immediately_following_scotus,only,810.8278738471,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct10,expires,833.000057994572,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct10,extended,1487.65078419395,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct15,expires,844.082650068308,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct15,extended,1727.1420173065198,usd_b,revenue_dynamic
