category,series,value,scenario,measure
2032,conventional,208.47063545726135,tracker_no_polysilicon_2026-08-11,level
2032,dynamic,194.07963545726136,tracker_no_polysilicon_2026-08-11,level
2033,conventional,216.56550109299965,tracker_no_polysilicon_2026-08-11,level
2033,dynamic,201.22750109299963,tracker_no_polysilicon_2026-08-11,level
2034,conventional,224.84807137598077,tracker_no_polysilicon_2026-08-11,level
2034,dynamic,208.53907137598077,tracker_no_polysilicon_2026-08-11,level
2035,conventional,233.0234763566256,tracker_no_polysilicon_2026-08-11,level
2035,dynamic,215.6774763566256,tracker_no_polysilicon_2026-08-11,level
Total,conventional,1889.7579154307318,tracker_no_polysilicon_2026-08-11,level
Total,dynamic,1761.4909154307318,tracker_no_polysilicon_2026-08-11,level
2026,conventional,-15.154321502885693,tracker_no_fl_301_2026-08-11,delta_vs_default
2026,dynamic,-13.656321502885696,tracker_no_fl_301_2026-08-11,delta_vs_default
2027,conventional,-60.924657344976225,tracker_no_fl_301_2026-08-11,delta_vs_default
2027,dynamic,-56.590657344976236,tracker_no_fl_301_2026-08-11,delta_vs_default
2028,conventional,-62.78305429270486,tracker_no_fl_301_2026-08-11,delta_vs_default
2028,dynamic,-58.12105429270487,tracker_no_fl_301_2026-08-11,delta_vs_default
2029,conventional,-64.40531817592449,tracker_no_fl_301_2026-08-11,delta_vs_default
2029,dynamic,-59.25531817592449,tracker_no_fl_301_2026-08-11,delta_vs_default
2030,conventional,-66.11756801910266,tracker_no_fl_301_2026-08-11,delta_vs_default
2030,dynamic,-60.36956801910266,tracker_no_fl_301_2026-08-11,delta_vs_default
2031,conventional,-68.20623681958736,tracker_no_fl_301_2026-08-11,delta_vs_default
2031,dynamic,-62.01923681958742,tracker_no_fl_301_2026-08-11,delta_vs_default
2032,conventional,-70.9137008397054,tracker_no_fl_301_2026-08-11,delta_vs_default
2032,dynamic,-64.29070083970541,tracker_no_fl_301_2026-08-11,delta_vs_default
2033,conventional,-73.66710001125202,tracker_no_fl_301_2026-08-11,delta_vs_default
2033,dynamic,-66.599100011252,tracker_no_fl_301_2026-08-11,delta_vs_default
2034,conventional,-76.48411769492026,tracker_no_fl_301_2026-08-11,delta_vs_default
2034,dynamic,-68.96011769492026,tracker_no_fl_301_2026-08-11,delta_vs_default
2035,conventional,-79.26490528235439,tracker_no_fl_301_2026-08-11,delta_vs_default
2035,dynamic,-71.2539052823544,tracker_no_fl_301_2026-08-11,delta_vs_default
Total,conventional,-637.9209799834134,tracker_no_fl_301_2026-08-11,delta_vs_default
Total,dynamic,-581.1159799834134,tracker_no_fl_301_2026-08-11,delta_vs_default
2026,conventional,1.2260806563371034,tracker_no_polysilicon_2026-08-11,delta_vs_default
2026,dynamic,1.2260806563371034,tracker_no_polysilicon_2026-08-11,delta_vs_default
2027,conventional,-0.4385284918625416,tracker_no_polysilicon_2026-08-11,delta_vs_default
2027,dynamic,-0.3865284918625491,tracker_no_polysilicon_2026-08-11,delta_vs_default
2028,conventional,-0.8592481894810646,tracker_no_polysilicon_2026-08-11,delta_vs_default
2028,dynamic,-0.8232481894810633,tracker_no_polysilicon_2026-08-11,delta_vs_default
2029,conventional,-0.9565377248095217,tracker_no_polysilicon_2026-08-11,delta_vs_default
2029,dynamic,-0.9515377248095547,tracker_no_polysilicon_2026-08-11,delta_vs_default
2030,conventional,-1.0601473592270452,tracker_no_polysilicon_2026-08-11,delta_vs_default
2030,dynamic,-1.063147359227031,tracker_no_polysilicon_2026-08-11,delta_vs_default
2031,conventional,-1.1753169139356316,tracker_no_polysilicon_2026-08-11,delta_vs_default
2031,dynamic,-1.1793169139357076,tracker_no_polysilicon_2026-08-11,delta_vs_default
2032,conventional,-1.2219933369164835,tracker_no_polysilicon_2026-08-11,delta_vs_default
2032,dynamic,-1.226993336916479,tracker_no_polysilicon_2026-08-11,delta_vs_default
2033,conventional,-1.269449722103957,tracker_no_polysilicon_2026-08-11,delta_vs_default
2033,dynamic,-1.2744497221039808,tracker_no_polysilicon_2026-08-11,delta_vs_default
2034,conventional,-1.3180158413598235,tracker_no_polysilicon_2026-08-11,delta_vs_default
2034,dynamic,-1.3240158413598238,tracker_no_polysilicon_2026-08-11,delta_vs_default
2035,conventional,-1.3659446506161714,tracker_no_polysilicon_2026-08-11,delta_vs_default
2035,dynamic,-1.3719446506161717,tracker_no_polysilicon_2026-08-11,delta_vs_default
Total,conventional,-8.439101573975222,tracker_no_polysilicon_2026-08-11,delta_vs_default
Total,dynamic,-8.375101573975144,tracker_no_polysilicon_2026-08-11,delta_vs_default
