vintage_date,scenario,row_label_field,row_label,column,value
2025-10-17,Baseline,Name,Business services nec,Long-Run,0.724952641205985
2025-10-17,Baseline,Name,Transport nec,Short-Run,0
2025-10-17,Baseline,Name,Transport nec,Long-Run,0.704953947655475
2025-10-17,Baseline,Name,Warehousing and support,Short-Run,0
2025-10-17,Baseline,Name,Warehousing and support,Long-Run,0.899941209772947
2025-10-17,Baseline,Name,Recreational and other services,Short-Run,0
2025-10-17,Baseline,Name,Recreational and other services,Long-Run,0.7299523145936125
2025-10-17,Baseline,Name,Human health and social work,Short-Run,0
2025-10-17,Baseline,Name,Human health and social work,Long-Run,0.7749493750822598
2025-10-17,Baseline,Name,Public Administration,Short-Run,0
2025-10-17,Baseline,Name,Public Administration,Long-Run,0.764950028307005
2025-10-17,Baseline,Name,Real estate activities,Short-Run,0
2025-10-17,Baseline,Name,Real estate activities,Long-Run,0.6599568871668278
2025-10-17,Baseline,Name,Trade,Short-Run,0
2025-10-17,Baseline,Name,Trade,Long-Run,0.724952641205985
2025-10-17,Baseline,Name,Dwellings,Short-Run,0
2025-10-17,Baseline,Name,Dwellings,Long-Run,0.589961459740043
2025-10-17,Baseline,Name,Education,Short-Run,0
2025-10-17,Baseline,Name,Education,Long-Run,0.6549572137792004
