category,series,value,scenario,measure
2032,conventional,-6.182975780954024,tracker_no_s338_2026-07-21,delta_vs_default
2032,dynamic,-6.154975780954032,tracker_no_s338_2026-07-21,delta_vs_default
2033,conventional,-6.421931544210651,tracker_no_s338_2026-07-21,delta_vs_default
2033,dynamic,-6.392931544210654,tracker_no_s338_2026-07-21,delta_vs_default
2034,conventional,-6.664854595387283,tracker_no_s338_2026-07-21,delta_vs_default
2034,dynamic,-6.63485459538731,tracker_no_s338_2026-07-21,delta_vs_default
2035,conventional,-6.906143917965039,tracker_no_s338_2026-07-21,delta_vs_default
2035,dynamic,-6.8741439179650285,tracker_no_s338_2026-07-21,delta_vs_default
Total,conventional,-55.77455562214686,tracker_no_s338_2026-07-21,delta_vs_default
Total,dynamic,-55.054555622146836,tracker_no_s338_2026-07-21,delta_vs_default
2026,conventional,17.57048636619639,tracker_new_301_2026-07-21,delta_vs_default
2026,dynamic,16.712486366196416,tracker_new_301_2026-07-21,delta_vs_default
2027,conventional,68.58927219769316,tracker_new_301_2026-07-21,delta_vs_default
2027,dynamic,63.72827219769316,tracker_new_301_2026-07-21,delta_vs_default
2028,conventional,70.71419690657112,tracker_new_301_2026-07-21,delta_vs_default
2028,dynamic,66.68519690657106,tracker_new_301_2026-07-21,delta_vs_default
2029,conventional,72.58215462337876,tracker_new_301_2026-07-21,delta_vs_default
2029,dynamic,69.73615462337878,tracker_new_301_2026-07-21,delta_vs_default
2030,conventional,74.55352140309202,tracker_new_301_2026-07-21,delta_vs_default
2030,dynamic,70.332521403092,tracker_new_301_2026-07-21,delta_vs_default
2031,conventional,76.95328951177137,tracker_new_301_2026-07-21,delta_vs_default
2031,dynamic,71.23328951177136,tracker_new_301_2026-07-21,delta_vs_default
2032,conventional,80.006851635212,tracker_new_301_2026-07-21,delta_vs_default
2032,dynamic,73.62785163521201,tracker_new_301_2026-07-21,delta_vs_default
2033,conventional,83.11283090832598,tracker_new_301_2026-07-21,delta_vs_default
2033,dynamic,76.29383090832599,tracker_new_301_2026-07-21,delta_vs_default
2034,conventional,86.28989995633606,tracker_new_301_2026-07-21,delta_vs_default
2034,dynamic,79.02189995633606,tracker_new_301_2026-07-21,delta_vs_default
2035,conventional,89.42675596059226,tracker_new_301_2026-07-21,delta_vs_default
2035,dynamic,81.67975596059227,tracker_new_301_2026-07-21,delta_vs_default
Total,conventional,719.7992594691691,tracker_new_301_2026-07-21,delta_vs_default
Total,dynamic,669.051259469169,tracker_new_301_2026-07-21,delta_vs_default
