category,measure,value
Electricity,domestic,0.8608231724351704
Electricity,imported,-1.5080113969667217
Real estate activities,price,0.8168395066903077
Real estate activities,domestic,0.8168395066903077
Real estate activities,imported,0.21363494790361892
Education,price,0.8042727450489183
Education,domestic,0.8608231724351704
Education,imported,-0.7351555560212769
"Petroleum, coal products",price,0.7854226025868342
"Petroleum, coal products",domestic,0.7414389368419715
"Petroleum, coal products",imported,0.9864907888490639
Financial services nec,price,0.7351555560212769
Financial services nec,domestic,0.7414389368419715
Financial services nec,imported,-0.16336790133806153
Oil,price,0.7225887943798874
Oil,domestic,0.49010370401418457
Oil,imported,0.8922400765386437
Dwellings,price,0.7163054135591927
Dwellings,domestic,0.7163054135591927
Dwellings,imported,0.7163054135591927
Insurance,price,0.6974552710971088
Insurance,domestic,0.7100220327384982
Insurance,imported,0.3832862300623751
Air transport,price,0.57807103550391
Air transport,domestic,0.8419730299730864
Air transport,imported,-0.40213637252445916
Coal,price,0.5089538464762686
Coal,domestic,0.5026704656555739
Coal,imported,0.7979893642282236
