cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,augmentation,automation,total,total_fm,employment_count,pca
3648,-0.7735823999999998,0.2222222222222222,0.1481481481481481,0.1428571499999999,0.1428571499999999,0.0344974365356819,0.8023912947121139,0.6976087052878863,1.5,3.5,114190.0,-1.5781113329701704
3649,-0.2778475000000001,0.1829268292682926,0.1097560975609756,0.083333336,0.083333336,0.0287236350125179,0.0,2.0,2.0,2.0,138880.0,-1.7693382158563482
3655,-0.20390581453999207,0.2603612754511602,0.07712341211158258,0.15597413877614646,0.14262069205827335,0.04353926198194308,,,,,176410.0,-1.3644811581125535
3700,-0.5584278,0.2826086956521739,0.2826086956521739,0.13043478,0.13043478,0.1351100969720057,0.0,1.0,1.0,1.0,53390.0,-0.7866940316838298
3710,-0.1923298,0.3289473684210526,0.3552631578947368,0.22499999,0.22499999,0.0852902951940878,2.0,0.0,2.0,3.0,153130.0,-0.22901950058016018
3720,-0.5930207077656025,0.4150943396226415,0.4056603773584905,0.16666658786845,0.16666658786845,0.014613301681284403,0.19780219780219782,0.8021978021978022,1.0,1.0,93680.0,-0.5994009129508038
3725,,0.4047619047619047,0.2619047619047618,0.0,0.0,0.102171315903398,,,,,70310.0,
3735,,,,0.0,0.0,,,,,,20460.0,
3740,-1.3202314747178,0.1403508771929824,0.087719298245614,0.0333333217376282,0.0333333217376282,0.0873392959298215,1.0,0.0,1.0,1.0,332240.0,-2.295674170057016
3750,0.017003796586447156,0.27694650121120706,0.38302710361533887,0.2726652565374067,0.2170107052630753,0.10418177025163544,0.25609756097560976,0.24390243902439024,0.5,0.5,16830.0,-0.048175178505659846
3801,-0.5103183,0.0357142857142857,0.1607142857142857,0.0,0.0,0.2300215384845803,,,,,16910.0,-1.621702922513729
3802,-0.8875365000000003,0.2613636363636363,0.2386363636363636,0.13461539,0.11538461999999998,0.11831797196312312,0.4266900790166812,0.5733099209833188,1.0,1.0,365380.0,-1.1336978216710532
3820,0.2255915598943123,0.397410759175465,0.3477375565610859,0.288661054541467,0.2442516730644499,0.1502778131666247,0.9716288403999123,7.528371159600088,8.5,14.5,110790.0,0.4368943420464826
3830,-0.45851679999999995,0.2840909090909091,0.1590909090909091,0.0625,0.041666668,0.1302057733691728,0.0,0.0,0.0,1.0,6420.0,-1.3072491555808536
3840,-0.6239931000000001,0.3205128205128205,0.3205128205128205,0.15217391,0.13043478,0.159575761735037,,,,,7770.0,-0.5392108203345181
3870,-0.6676484442805448,0.35073737774337777,0.24818320389606563,0.17966606602052515,0.15707954974991448,0.1564965736500886,3.054843630816171,2.945156369183829,6.0,8.0,669990.0,-0.5593838621294391
3900,-0.5946321000000001,0.35,0.1333333333333333,0.0625,0.0625,0.2077313244990273,0.12334801762114535,0.8766519823788547,1.0,1.0,11790.0,-0.9732121646701386
3910,0.7483108,0.3888888888888888,0.3888888888888888,0.29411766,0.23529411999999997,0.1894745840819405,0.36000000000000004,0.64,1.0,2.0,38700.0,0.851771566231567
3930,-0.3819008775709596,0.16883026967147846,0.25049929300111035,0.17714487855684352,0.14171590879754267,0.15194197142345398,0.12729348693577328,1.8647178250464596,1.9920113119822331,2.48801696797335,1251770.0,-0.828432850326155
3940,-0.5699511000000002,0.1052631578947368,0.2631578947368421,0.0,0.0,0.21408020129774516,,,,,90180.0,-1.3635727651790015
3945,-0.5068558,0.26,0.23,0.13461539,0.13461539,0.2247596882553509,0.0,2.0,2.0,3.0,46340.0,-0.5781245627715959
3946,0.0,0.1666666666666666,0.1944444444444444,0.0,0.0,0.3067420319856948,,,,,72140.0,-0.8238217480327569
3960,-0.27084673509925017,0.18926702314222085,0.2265259126168677,0.04660504882090869,0.03536021522902514,0.047713759395826595,0.1687559952668025,0.5644597083062014,0.7332157035730039,2.099823555359506,226700.0,-1.6058162631516466
4000,-0.2676433,0.2619047619047618,0.2619047619047618,0.14285715,0.14285715,0.1568799413816689,1.4543755724288712,1.5456244275711288,3.0,4.0,182320.0,-0.6244906920233801
4010,-0.2575491999999999,0.5111111111111112,0.2555555555555555,0.3076923199999999,0.2115384599999999,0.1399701930112187,0.93509096515572,1.06490903484428,2.0,3.5,1187460.0,0.19455799223359804
4020,-0.7091676518213638,0.0704721403693592,0.0856969303932003,0.05413876972854316,0.013257548039204967,0.15885425952990453,1.3921867642069552,1.9130001149153786,3.3051868791223336,4.167150745972338,2743530.0,-1.926689078088672
4030,-1.2264159999999995,0.037037037037037,0.0462962962962962,0.0645161269999999,0.0322580639999999,0.1490145407205766,1.2393790849673203,1.2606209150326797,2.5,4.5,888770.0,-2.2612115373009782
4040,-0.6159883,0.1944444444444444,0.1388888888888889,0.0,0.0,0.18464858904821613,0.827882960413081,0.6721170395869192,1.5,2.5,745610.0,-1.576199294408705
4055,-1.0125735877234692,0.0970394736842105,0.1154057017543859,0.0356103356534731,0.0356103356534731,0.1693810219179641,2.7118589743589743,2.2881410256410257,5.0,7.0,3780930.0,-1.890889627997379
4110,-0.9481003000000003,0.183673469387755,0.2244897959183673,0.14,0.14,0.2992029242013945,0.8956349206349206,1.6043650793650794,2.5,3.5,2302690.0,-0.6250623706180305
4120,-0.7270206000000001,0.1296296296296296,0.1111111111111111,0.0,0.0,0.1275828175828237,,,,,271780.0,-2.0044887763827743
4130,-1.927078,0.0,0.0,0.0,0.0,0.0877915660668576,,,,,522010.0,-3.1079510453204584
4140,-1.738612,0.0,0.0,0.0,0.0,0.0175904877428979,1.0,0.0,1.0,1.0,471670.0,-3.282969345985494
4150,-0.0565477,0.22857142857142848,0.3285714285714285,0.36363636999999993,0.31818181,0.36807009262008655,0.19870262888357795,3.301297371116422,3.5,4.0,427150.0,1.0256788031593633
4160,,,,0.0,0.0,,,,,,89580.0,
4200,-0.5854127999999998,0.2653061224489795,0.2551020408163265,0.2307692299999999,0.2307692299999999,0.1668788461485789,1.7985347985347986,3.2014652014652016,5.0,5.0,174660.0,-0.3994200482825624
4210,-0.5548870999999999,0.3545454545454545,0.2454545454545454,0.1428571499999999,0.1428571499999999,0.1200807655311671,0.1866913123844731,1.8133086876155269,2.0,2.0,124130.0,-0.7348561010398749
4220,-1.436201,0.0,0.0277777777777777,0.043157119201992535,0.043157119201992535,0.1075530727664869,,,,,2216270.0,-2.6188947682066797
4230,-1.480657,0.0,0.05882352941176469,0.0,0.0,0.0081162949815227,0.16037735849056606,0.339622641509434,0.5,0.5,854910.0,-3.0909552822379176
4240,-0.7255374,0.25,0.22916666666666663,0.06666667,0.06666667,0.11794594377991259,0.0,1.0,1.0,2.0,96110.0,-1.3240692486008925
