category,series,value,unit,metric,scenario,measure
Consumer price increase,Pre-substitution,-0.37269967940033727,pct,price_presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Consumer price increase,Post-substitution,-0.3167506132712746,pct,price_postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Household cost,Pre-substitution,-504.77354796952636,usd,hh_cost_presub,tracker_no_fl_301_2026-07-23,delta_vs_default
Household cost,Post-substitution,-428.99776876577556,usd,hh_cost_postsub,tracker_no_fl_301_2026-07-23,delta_vs_default
Real GDP,2025 Q4/Q4,0.013919804062234586,pp,gdp_2025_q4q4,tracker_no_fl_301_2026-07-23,delta_vs_default
Real GDP,2026 Q4/Q4,0.05872160790474368,pp,gdp_2026_q4q4,tracker_no_fl_301_2026-07-23,delta_vs_default
Real GDP,Long-run,0.06843790411949158,pct,gdp_long_run,tracker_no_fl_301_2026-07-23,delta_vs_default
Tariff rate,Average statutory rate,0.2913197335179749,pct,etr_statutory_level,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Tariff rate,"Effective rate, pre-substitution",0.26843082701171994,pct,etr_presub_level,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Tariff rate,"Effective rate, post-substitution",0.3677073349688822,pct,etr_postsub_level,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Consumer price increase,Pre-substitution,0.018485997145841537,pct,price_presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Consumer price increase,Post-substitution,0.03610334620465716,pct,price_postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Household cost,Pre-substitution,25.036894000216535,usd,hh_cost_presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Household cost,Post-substitution,48.89731643080245,usd,hh_cost_postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Real GDP,2025 Q4/Q4,0.0010863377121972384,pp,gdp_2025_q4q4,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Real GDP,2026 Q4/Q4,-0.0025558935325742382,pp,gdp_2026_q4q4,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Real GDP,Long-run,0.006770193576812716,pct,gdp_long_run,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Revenue (10-year),Conventional,1910.78562773465,usd_bn,revenue_conventional,tracker_actual_2026-07-23,level
Revenue (10-year),Dynamic,1783.46262773465,usd_bn,revenue_dynamic,tracker_actual_2026-07-23,level
Revenue (10-year),Conventional,1277.6083321611773,usd_bn,revenue_conventional,tracker_no_fl_301_2026-07-23,level
Revenue (10-year),Dynamic,1207.1853321611773,usd_bn,revenue_dynamic,tracker_no_fl_301_2026-07-23,level
Revenue (10-year),Conventional,1982.9403040889065,usd_bn,revenue_conventional,tracker_no_fl_301_keep_s122_2026-07-23,level
Revenue (10-year),Dynamic,1860.2523040889064,usd_bn,revenue_dynamic,tracker_no_fl_301_keep_s122_2026-07-23,level
Revenue (10-year),Conventional,-633.1772955734727,usd_bn,revenue_conventional,tracker_no_fl_301_2026-07-23,delta_vs_default
Revenue (10-year),Dynamic,-576.2772955734727,usd_bn,revenue_dynamic,tracker_no_fl_301_2026-07-23,delta_vs_default
Revenue (10-year),Conventional,72.15467635425648,usd_bn,revenue_conventional,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
Revenue (10-year),Dynamic,76.78967635425647,usd_bn,revenue_dynamic,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default
