category,value,substitution,scenario,measure,basis
6,-983.6993005176028,presub,tracker_actual_2026-07-24,level,2025 dollars
7,-1100.5770949442422,presub,tracker_actual_2026-07-24,level,2025 dollars
8,-1270.4375934043296,presub,tracker_actual_2026-07-24,level,2025 dollars
9,-1474.65659447319,presub,tracker_actual_2026-07-24,level,2025 dollars
10,-2493.8128419523373,presub,tracker_actual_2026-07-24,level,2025 dollars
Total,-1075.4152506518874,presub,tracker_actual_2026-07-24,level,2025 dollars
1,-490.5995369092244,postsub,tracker_actual_2026-07-24,level,2025 dollars
2,-490.51023363300885,postsub,tracker_actual_2026-07-24,level,2025 dollars
3,-576.129669590457,postsub,tracker_actual_2026-07-24,level,2025 dollars
4,-601.2404331849392,postsub,tracker_actual_2026-07-24,level,2025 dollars
5,-727.3783074928529,postsub,tracker_actual_2026-07-24,level,2025 dollars
6,-827.4095763173997,postsub,tracker_actual_2026-07-24,level,2025 dollars
7,-925.7178767467824,postsub,tracker_actual_2026-07-24,level,2025 dollars
8,-1068.591011850133,postsub,tracker_actual_2026-07-24,level,2025 dollars
9,-1240.3637853607356,postsub,tracker_actual_2026-07-24,level,2025 dollars
10,-2097.596924069125,postsub,tracker_actual_2026-07-24,level,2025 dollars
Total,-904.5537355154659,postsub,tracker_actual_2026-07-24,level,2025 dollars
1,-308.31716550346357,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
2,-308.2610428801803,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
3,-362.0685576053523,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
4,-377.8494111786219,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
5,-457.1207291139342,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
6,-519.9853568712283,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
7,-581.767185539074,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
8,-671.5557742507041,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
9,-779.506334035388,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
10,-1318.2343017935625,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
Total,-568.4665858771509,presub,tracker_no_fl_301_2026-07-24,level,2025 dollars
1,-260.78198909956143,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
2,-260.73451925042275,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
3,-306.2461945268247,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
4,-319.5940156830228,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
5,-386.6435811392875,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
6,-439.815977959232,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
7,-492.0725175648029,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
8,-568.017840701209,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
9,-659.3249907883315,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
10,-1114.993914658102,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
Total,-480.8225541370797,postsub,tracker_no_fl_301_2026-07-24,level,2025 dollars
1,-597.0162911873495,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
2,-596.9076169902785,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
3,-701.0989059403256,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
4,-731.6564866598404,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
5,-885.1551352154354,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
6,-1006.884351456921,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
7,-1126.516867388426,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
8,-1300.3808497457806,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
9,-1509.4131387168145,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
10,-2552.590130645505,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
Total,-1100.7619773946676,presub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
1,-517.1524692254052,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
2,-517.0583325490934,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
3,-607.3117865128573,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
4,-633.7816308972086,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
5,-766.7465202897791,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
6,-872.191825025027,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
7,-975.8209083965736,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
8,-1126.4268283902247,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
9,-1307.4965345019552,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
10,-2211.1260755687977,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
Total,-953.5112911356922,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level,2025 dollars
1,274.9519132033731,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
2,274.9018640190518,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
3,322.88647458799693,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
4,336.95956673928055,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
5,407.652356395918,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
6,463.71394364637445,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
7,518.8099094051681,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
8,598.8818191536255,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
9,695.1502604378019,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
10,1175.5785401587748,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
Total,506.94866477473647,presub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
1,229.81754780966298,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
2,229.7757143825861,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
3,269.88347506363226,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
4,281.6464175019164,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
5,340.73472635356535,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
6,387.5935983581677,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
7,433.6453591819795,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
8,500.5731711489241,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
9,581.0387945724041,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
10,982.6030094110231,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
Total,423.73118137838617,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default,2025 dollars
1,-13.747212480512758,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,2025 dollars
