time,industry,series,variant,value
2023-01-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.852231
2023-02-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.456679
2023-03-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.25344
2023-04-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,10.045257
2023-05-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.478495
2023-06-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.163719
2023-07-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.040023
2023-08-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.690785
2023-09-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.65327
2023-10-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.825826
2023-11-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.691873
2023-12-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.617021
2024-01-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.336473
2024-02-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.700679
2024-03-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.669549
2024-04-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.498035
2024-05-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.52497
2024-06-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.533794
2024-07-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.390882
2024-08-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.595701
2024-09-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.533996
2024-10-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.873053
2024-11-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.612318
2024-12-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.721061
2025-01-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.68302
2025-02-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.4849
2025-03-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.390428
2025-04-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.686212
2025-05-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.771998
2025-06-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.749805
2025-07-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.444894
2025-08-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.814664
2025-09-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,7.497543
2025-10-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,
2025-11-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.237333
2025-12-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.615389
2026-01-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.773677
2026-02-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.054772
2026-03-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.226907
2026-04-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.059082
2026-05-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.053651
2026-06-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,8.205691
2026-07-02,natural-resources-and-mining,12-Month Rolling Baseline,rolling,9.039321
0,construction,Baseline Nov 2022 (AI),indexed,0.0
1,construction,Baseline Nov 2022 (AI),indexed,0.828379
2,construction,Baseline Nov 2022 (AI),indexed,1.518836
3,construction,Baseline Nov 2022 (AI),indexed,2.228256
4,construction,Baseline Nov 2022 (AI),indexed,2.770382
5,construction,Baseline Nov 2022 (AI),indexed,3.203817
6,construction,Baseline Nov 2022 (AI),indexed,3.577042
7,construction,Baseline Nov 2022 (AI),indexed,3.841935
8,construction,Baseline Nov 2022 (AI),indexed,4.038092
9,construction,Baseline Nov 2022 (AI),indexed,4.45025
10,construction,Baseline Nov 2022 (AI),indexed,4.763594
11,construction,Baseline Nov 2022 (AI),indexed,5.162498
12,construction,Baseline Nov 2022 (AI),indexed,5.547579
13,construction,Baseline Nov 2022 (AI),indexed,5.639073
14,construction,Baseline Nov 2022 (AI),indexed,5.813674
15,construction,Baseline Nov 2022 (AI),indexed,6.008858
16,construction,Baseline Nov 2022 (AI),indexed,6.261243
17,construction,Baseline Nov 2022 (AI),indexed,6.492016
18,construction,Baseline Nov 2022 (AI),indexed,6.764726
19,construction,Baseline Nov 2022 (AI),indexed,6.942842
20,construction,Baseline Nov 2022 (AI),indexed,6.977187
21,construction,Baseline Nov 2022 (AI),indexed,7.005947
22,construction,Baseline Nov 2022 (AI),indexed,7.019145
23,construction,Baseline Nov 2022 (AI),indexed,6.931151
24,construction,Baseline Nov 2022 (AI),indexed,7.014523
25,construction,Baseline Nov 2022 (AI),indexed,6.926938
26,construction,Baseline Nov 2022 (AI),indexed,7.060209
27,construction,Baseline Nov 2022 (AI),indexed,7.236119
28,construction,Baseline Nov 2022 (AI),indexed,7.443106
29,construction,Baseline Nov 2022 (AI),indexed,7.554641
30,construction,Baseline Nov 2022 (AI),indexed,7.695586
31,construction,Baseline Nov 2022 (AI),indexed,7.806927
32,construction,Baseline Nov 2022 (AI),indexed,8.048545
33,construction,Baseline Nov 2022 (AI),indexed,8.365224
34,construction,Baseline Nov 2022 (AI),indexed,8.519693
35,construction,Baseline Nov 2022 (AI),indexed,
36,construction,Baseline Nov 2022 (AI),indexed,8.685212
37,construction,Baseline Nov 2022 (AI),indexed,8.674826
38,construction,Baseline Nov 2022 (AI),indexed,8.832667
39,construction,Baseline Nov 2022 (AI),indexed,8.901526
40,construction,Baseline Nov 2022 (AI),indexed,8.7811
41,construction,Baseline Nov 2022 (AI),indexed,8.825072
42,construction,Baseline Nov 2022 (AI),indexed,8.968635
43,construction,Baseline Nov 2022 (AI),indexed,9.104766
44,construction,Baseline Nov 2022 (AI),indexed,9.134179
45,construction,Baseline Nov 2022 (AI),indexed,
46,construction,Baseline Nov 2022 (AI),indexed,
47,construction,Baseline Nov 2022 (AI),indexed,
48,construction,Baseline Nov 2022 (AI),indexed,
49,construction,Baseline Nov 2022 (AI),indexed,
50,construction,Baseline Nov 2022 (AI),indexed,
51,construction,Baseline Nov 2022 (AI),indexed,
52,construction,Baseline Nov 2022 (AI),indexed,
53,construction,Baseline Nov 2022 (AI),indexed,
54,construction,Baseline Nov 2022 (AI),indexed,
55,construction,Baseline Nov 2022 (AI),indexed,
56,construction,Baseline Nov 2022 (AI),indexed,
57,construction,Baseline Nov 2022 (AI),indexed,
58,construction,Baseline Nov 2022 (AI),indexed,
59,construction,Baseline Nov 2022 (AI),indexed,
60,construction,Baseline Nov 2022 (AI),indexed,
61,construction,Baseline Nov 2022 (AI),indexed,
62,construction,Baseline Nov 2022 (AI),indexed,
63,construction,Baseline Nov 2022 (AI),indexed,
64,construction,Baseline Nov 2022 (AI),indexed,
65,construction,Baseline Nov 2022 (AI),indexed,
66,construction,Baseline Nov 2022 (AI),indexed,
0,construction,Baseline Jan 2021,indexed,0.0
1,construction,Baseline Jan 2021,indexed,1.060834
2,construction,Baseline Jan 2021,indexed,1.610231
3,construction,Baseline Jan 2021,indexed,2.1452
4,construction,Baseline Jan 2021,indexed,2.692136
5,construction,Baseline Jan 2021,indexed,3.288331
6,construction,Baseline Jan 2021,indexed,3.631644
7,construction,Baseline Jan 2021,indexed,4.074378
8,construction,Baseline Jan 2021,indexed,4.430497
9,construction,Baseline Jan 2021,indexed,4.650384
10,construction,Baseline Jan 2021,indexed,5.020171
11,construction,Baseline Jan 2021,indexed,5.286331
12,construction,Baseline Jan 2021,indexed,5.463851
13,construction,Baseline Jan 2021,indexed,5.641661
14,construction,Baseline Jan 2021,indexed,5.610019
15,construction,Baseline Jan 2021,indexed,5.581821
16,construction,Baseline Jan 2021,indexed,5.585802
17,construction,Baseline Jan 2021,indexed,5.439026
18,construction,Baseline Jan 2021,indexed,5.321814
19,construction,Baseline Jan 2021,indexed,5.282644
20,construction,Baseline Jan 2021,indexed,5.170317
21,construction,Baseline Jan 2021,indexed,5.328799
22,construction,Baseline Jan 2021,indexed,5.393989
23,construction,Baseline Jan 2021,indexed,5.374631
24,construction,Baseline Jan 2021,indexed,5.404373
25,construction,Baseline Jan 2021,indexed,5.455385
26,construction,Baseline Jan 2021,indexed,5.573891
27,construction,Baseline Jan 2021,indexed,5.500678
28,construction,Baseline Jan 2021,indexed,5.601493
29,construction,Baseline Jan 2021,indexed,5.583984
30,construction,Baseline Jan 2021,indexed,5.494151
31,construction,Baseline Jan 2021,indexed,5.469433
32,construction,Baseline Jan 2021,indexed,5.516477
33,construction,Baseline Jan 2021,indexed,5.57991
34,construction,Baseline Jan 2021,indexed,5.769357
35,construction,Baseline Jan 2021,indexed,5.931946
36,construction,Baseline Jan 2021,indexed,6.012427
37,construction,Baseline Jan 2021,indexed,6.102785
38,construction,Baseline Jan 2021,indexed,6.37159
39,construction,Baseline Jan 2021,indexed,6.609234
40,construction,Baseline Jan 2021,indexed,6.93343
