category,series,rate_group,duration,value,unit,metric
Real GDP,"Q4-Q4 growth (p.p.), 2026",before_scotus,only,-0.2757978978126241,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",immediately_following_scotus,only,0.05664323338030464,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct10,expires,0.05792524477770122,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct10,extended,-0.02139719872524815,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct15,expires,0.0566432333803046,pp,gdp_growth_2026
Real GDP,"Q4-Q4 growth (p.p.), 2026",pct15,extended,-0.0579352557204094,pp,gdp_growth_2026
Real GDP,Long-run,current,only,-0.0951487123966217,pct,gdp_longrun
Real GDP,Long-run,before_scotus,only,-0.2857685685157776,pct,gdp_longrun
Real GDP,Long-run,immediately_following_scotus,only,-0.0951487123966217,pct,gdp_longrun
Real GDP,Long-run,pct10,expires,-0.0951487123966217,pct,gdp_longrun
Real GDP,Long-run,pct10,extended,-0.1622726321220398,pct,gdp_longrun
Real GDP,Long-run,pct15,expires,-0.09514871239662169,pct,gdp_longrun
Real GDP,Long-run,pct15,extended,-0.20953439176082603,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",current,only,0.2930746080000004,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",before_scotus,only,0.4649033549999997,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",immediately_following_scotus,only,0.2716975210000001,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct10,expires,0.2930746080000004,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct10,extended,0.3325700759999997,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct15,expires,0.305145264,pp,unemployment_2026
Labor market,"Unemployment rate (p.p.), end of 2026",pct15,extended,0.353068829,pp,unemployment_2026
Revenue (10-year),Conventional,current,only,1291.591825556844,usd_b,revenue_conventional
Revenue (10-year),Conventional,before_scotus,only,2619.170333208172,usd_b,revenue_conventional
Revenue (10-year),Conventional,immediately_following_scotus,only,1268.711263061714,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct10,expires,1291.591825556844,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct10,extended,1943.2861391604179,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct15,expires,1303.03210680441,usd_b,revenue_conventional
Revenue (10-year),Conventional,pct15,extended,2198.9793260389397,usd_b,revenue_conventional
Revenue (10-year),Dynamic,current,only,1114.276825556844,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,before_scotus,only,2292.934333208172,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,immediately_following_scotus,only,1091.592263061714,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct10,expires,1114.276825556844,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct10,extended,1705.947139160418,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct15,expires,1125.1321068044101,usd_b,revenue_dynamic
Revenue (10-year),Dynamic,pct15,extended,1930.1933260389399,usd_b,revenue_dynamic
