category,value,substitution,scenario,measure,basis
10,-2481.635457895977,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
Total,-1070.1639566065003,presub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
1,-487.82849775292254,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
2,-487.7396988858158,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
3,-572.8755330627295,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
4,-597.8444642584221,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
5,-723.2698776639021,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
6,-822.7361427697057,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
7,-920.4891712728336,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
8,-1062.5553201848618,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
9,-1233.3578745134746,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
10,-2085.7491281104235,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
Total,-899.4445708475091,postsub,tracker_no_polysilicon_2026-08-11,level,2025 dollars
1,275.0235118473007,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
2,274.97344962995965,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
3,322.9705555949399,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
4,337.0473124390862,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
5,407.75851079787054,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
6,463.8346967233347,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
7,518.9450097052053,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
8,599.0377705184467,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
9,695.3312805128887,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
10,1175.8846657947995,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
Total,507.08067635638315,presub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
1,229.67289478874795,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
2,229.63108769269627,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
3,269.7136035271239,postsub,tracker_no_fl_301_2026-08-11,delta_vs_default,2025 dollars
