time,series,variant,value
2025-07-02,Professional and Business Services,rolling,5.521661
2025-08-02,Professional and Business Services,rolling,5.768322
2025-09-02,Professional and Business Services,rolling,6.016567
2025-10-02,Professional and Business Services,rolling,
2025-11-02,Professional and Business Services,rolling,6.353343
2025-12-02,Professional and Business Services,rolling,6.310627
2026-01-02,Professional and Business Services,rolling,6.231476
2026-02-02,Professional and Business Services,rolling,6.324275
2026-03-02,Professional and Business Services,rolling,6.326256
2026-04-02,Professional and Business Services,rolling,6.197673
2026-05-02,Professional and Business Services,rolling,6.145013
2026-06-02,Professional and Business Services,rolling,6.104025
2026-07-02,Professional and Business Services,rolling,6.165349
