category,series,value,unit,metric,scenario,measure
Real GDP,Long-run,0.0682842880487442,pct,gdp_long_run,tracker_no_fl_301_2026-08-11,delta_vs_default
Tariff rate,Average statutory rate,-0.08623533224712965,pct,etr_statutory_level,tracker_no_polysilicon_2026-08-11,delta_vs_default
Tariff rate,"Effective rate, pre-substitution",-0.07917596456767129,pct,etr_presub_level,tracker_no_polysilicon_2026-08-11,delta_vs_default
Tariff rate,"Effective rate, post-substitution",-0.10574522525821628,pct,etr_postsub_level,tracker_no_polysilicon_2026-08-11,delta_vs_default
Consumer price increase,Pre-substitution,-0.004733218048678989,pct,price_presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Consumer price increase,Post-substitution,-0.0037721035308628803,pct,price_postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Household cost,Pre-substitution,-6.41053212492443,usd,hh_cost_presub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Household cost,Post-substitution,-5.1088267251681145,usd,hh_cost_postsub,tracker_no_polysilicon_2026-08-11,delta_vs_default
Real GDP,2025 Q4/Q4,3.2383901760191236e-5,pp,gdp_2025_q4q4,tracker_no_polysilicon_2026-08-11,delta_vs_default
Real GDP,2026 Q4/Q4,0.0010956221155877799,pp,gdp_2026_q4q4,tracker_no_polysilicon_2026-08-11,delta_vs_default
Real GDP,Long-run,-8.362531661987305e-5,pct,gdp_long_run,tracker_no_polysilicon_2026-08-11,delta_vs_default
Revenue (10-year),Conventional,1898.197017004707,usd_bn,revenue_conventional,tracker_actual_2026-08-11,level
Revenue (10-year),Dynamic,1769.866017004707,usd_bn,revenue_dynamic,tracker_actual_2026-08-11,level
Revenue (10-year),Conventional,1260.2760370212936,usd_bn,revenue_conventional,tracker_no_fl_301_2026-08-11,level
Revenue (10-year),Dynamic,1188.7500370212936,usd_bn,revenue_dynamic,tracker_no_fl_301_2026-08-11,level
Revenue (10-year),Conventional,1889.757915430732,usd_bn,revenue_conventional,tracker_no_polysilicon_2026-08-11,level
Revenue (10-year),Dynamic,1761.4909154307318,usd_bn,revenue_dynamic,tracker_no_polysilicon_2026-08-11,level
Revenue (10-year),Conventional,-637.9209799834134,usd_bn,revenue_conventional,tracker_no_fl_301_2026-08-11,delta_vs_default
Revenue (10-year),Dynamic,-581.1159799834134,usd_bn,revenue_dynamic,tracker_no_fl_301_2026-08-11,delta_vs_default
Revenue (10-year),Conventional,-8.439101573974995,usd_bn,revenue_conventional,tracker_no_polysilicon_2026-08-11,delta_vs_default
Revenue (10-year),Dynamic,-8.375101573975144,usd_bn,revenue_dynamic,tracker_no_polysilicon_2026-08-11,delta_vs_default
