category,top_level,scenario,substitution,value
Household utilities,Services,Section 122 Extended,Pre-Substitution,0.4343
Household utilities,Services,Section 122 Extended,Post-Substitution,0.3896
Gasoline and other energy goods,Nondurable goods,Section 122 Expires,Pre-Substitution,0.3449
Gasoline and other energy goods,Nondurable goods,Section 122 Expires,Post-Substitution,0.3052
Gasoline and other energy goods,Nondurable goods,Section 122 Extended,Pre-Substitution,0.413
Gasoline and other energy goods,Nondurable goods,Section 122 Extended,Post-Substitution,0.3653
Other services,Services,Section 122 Expires,Pre-Substitution,0.3178
Other services,Services,Section 122 Expires,Post-Substitution,0.2799
Other services,Services,Section 122 Extended,Pre-Substitution,0.4611
Other services,Services,Section 122 Extended,Post-Substitution,0.4038
Final consumption expenditures of NPISH,Services,Section 122 Expires,Pre-Substitution,0.3061
Final consumption expenditures of NPISH,Services,Section 122 Expires,Post-Substitution,0.2715
Final consumption expenditures of NPISH,Services,Section 122 Extended,Pre-Substitution,0.4343
Final consumption expenditures of NPISH,Services,Section 122 Extended,Post-Substitution,0.3867
Recreation services,Services,Section 122 Expires,Pre-Substitution,0.3034
Recreation services,Services,Section 122 Expires,Post-Substitution,0.2624
Recreation services,Services,Section 122 Extended,Pre-Substitution,0.4499
Recreation services,Services,Section 122 Extended,Post-Substitution,0.3948
Food services and accommodations,Services,Section 122 Expires,Pre-Substitution,0.2689
Food services and accommodations,Services,Section 122 Expires,Post-Substitution,0.2364
Food services and accommodations,Services,Section 122 Extended,Pre-Substitution,0.5036
Food services and accommodations,Services,Section 122 Extended,Post-Substitution,0.4411
Health care,Services,Section 122 Expires,Pre-Substitution,0.2458
Health care,Services,Section 122 Expires,Post-Substitution,0.2091
Health care,Services,Section 122 Extended,Pre-Substitution,0.4355
Health care,Services,Section 122 Extended,Post-Substitution,0.3739
Education,Services,Section 122 Expires,Pre-Substitution,0.21
Education,Services,Section 122 Expires,Post-Substitution,0.1862
Education,Services,Section 122 Extended,Pre-Substitution,0.2978
Education,Services,Section 122 Extended,Post-Substitution,0.2657
Financial services and insurance,Services,Section 122 Expires,Pre-Substitution,0.0974
Financial services and insurance,Services,Section 122 Expires,Post-Substitution,0.0861
Financial services and insurance,Services,Section 122 Extended,Pre-Substitution,0.1278
Financial services and insurance,Services,Section 122 Extended,Post-Substitution,0.1151
Housing,Services,Section 122 Expires,Pre-Substitution,0.0501
Housing,Services,Section 122 Expires,Post-Substitution,0.0443
Housing,Services,Section 122 Extended,Pre-Substitution,0.0677
Housing,Services,Section 122 Extended,Post-Substitution,0.0601
